Area,Cancer_Type,Year,Age_Adjusted_Rate,Case_Count,Population,per_100k
United States,Cervix,1999,9.7,13914,140394214,9.91
United States,Cervix,2000,9.6,13898,141865770,9.80
United States,Cervix,2001,9,13269,143603977,9.24
United States,Cervix,2002,8.7,12919,144919222,8.91
United States,Cervix,2003,8.4,12711,147679036,8.61
United States,Cervix,2004,8.2,12498,148977286,8.39
United States,Cervix,2005,8.3,12803,150319521,8.52
United States,Cervix,2006,8.2,12718,151732647,8.38
United States,Cervix,2007,8.1,12720,153166353,8.30
United States,Cervix,2008,8,12756,154604015,8.25
United States,Cervix,2009,8.1,12915,155964075,8.28
United States,Cervix,2010,7.7,12553,157249665,7.98
United States,Cervix,2011,7.6,12472,158370501,7.88
United States,Cervix,2012,7.6,12466,159480635,7.82
United States,Cervix,2013,7.4,12323,160545893,7.68
United States,Cervix,2014,7.7,12860,161690519,7.95
United States,Cervix,2015,7.8,13178,162832151,8.09
United States,Cervix,2016,7.9,13338,163986062,8.13
United States,Cervix,2017,7.7,13139,165008683,7.96
United States,Cervix,2018,7.6,12967,164367226,7.89
United States,Cervix,2019,7.5,12795,165096351,7.75